epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,1563.98,1.13471,0.67596,1.06127,0.0556,0.05927,0.03177,0.01181,3.10885,5.35403,1.71503,0.00029215,0.00029215,0.00029215
145,1575.98,1.20879,0.69659,1.09177,0.05472,0.05794,0.03124,0.01116,3.11952,5.47905,1.71614,0.0002872,0.0002872,0.0002872
146,1586.52,1.15479,0.72617,1.07244,0.05135,0.05882,0.02953,0.0105,3.11812,5.52635,1.69946,0.00028225,0.00028225,0.00028225
147,1596.38,1.18028,0.6971,1.07612,0.05078,0.05617,0.02879,0.01076,3.11272,5.53155,1.68751,0.0002773,0.0002773,0.0002773
148,1606.21,1.11327,0.67348,1.03125,0.0501,0.05661,0.02872,0.01095,3.10959,5.38876,1.70217,0.00027235,0.00027235,0.00027235
149,1616.82,1.15004,0.69766,1.06683,0.05171,0.06015,0.02978,0.01114,3.11168,5.27346,1.68917,0.0002674,0.0002674,0.0002674
150,1628.18,1.12931,0.65988,1.04854,0.05093,0.06546,0.0298,0.01118,3.08848,5.17856,1.69134,0.00026245,0.00026245,0.00026245
151,1638.85,1.14486,0.6571,1.06026,0.04748,0.06502,0.02822,0.01055,3.07923,5.14654,1.6736,0.0002575,0.0002575,0.0002575
152,1648.72,1.18257,0.71584,1.04775,0.04807,0.06236,0.02808,0.01025,3.11847,5.24914,1.6985,0.00025255,0.00025255,0.00025255
153,1658.54,1.12266,0.67041,1.05683,0.04704,0.0628,0.02759,0.01009,3.13483,5.30733,1.71862,0.0002476,0.0002476,0.0002476
154,1669.27,1.10939,0.70572,1.0459,0.04663,0.06678,0.02758,0.01009,3.12211,5.25653,1.70208,0.00024265,0.00024265,0.00024265
155,1679.94,1.10179,0.65553,1.03484,0.04796,0.06192,0.02797,0.01049,3.15631,5.31604,1.72572,0.0002377,0.0002377,0.0002377
156,1690.5,1.09786,0.65226,1.01475,0.05057,0.06059,0.02909,0.01059,3.17315,5.36176,1.73376,0.00023275,0.00023275,0.00023275
157,1701.14,1.097,0.6609,1.04694,0.05075,0.05705,0.02919,0.01093,3.1578,5.36948,1.73077,0.0002278,0.0002278,0.0002278
158,1711.15,1.08975,0.65071,1.0433,0.04853,0.05617,0.02837,0.01028,3.10133,5.35792,1.70962,0.00022285,0.00022285,0.00022285
159,1721.72,1.0695,0.63114,1.04705,0.04589,0.0575,0.0272,0.01003,3.09278,5.35575,1.70426,0.0002179,0.0002179,0.0002179
160,1732.34,1.07977,0.6345,1.02254,0.04469,0.05971,0.02661,0.00965,3.12464,5.31856,1.72041,0.00021295,0.00021295,0.00021295
161,1742.23,1.08594,0.66955,1.03088,0.04824,0.06678,0.02884,0.01048,3.1179,5.22446,1.70119,0.000208,0.000208,0.000208
162,1752.78,1.09855,0.65596,1.0324,0.05121,0.06944,0.03082,0.01135,3.07413,5.19663,1.67593,0.00020305,0.00020305,0.00020305
163,1762.77,1.08874,0.66527,1.02572,0.05056,0.06148,0.02951,0.01083,3.10319,5.3469,1.70395,0.0001981,0.0001981,0.0001981
164,1773.42,1.05967,0.62256,1.04705,0.05042,0.05529,0.02898,0.01071,3.14106,5.53983,1.7282,0.00019315,0.00019315,0.00019315
165,1784.84,1.06705,0.61984,1.0329,0.04954,0.05484,0.02863,0.01044,3.13637,5.59186,1.72698,0.0001882,0.0001882,0.0001882
166,1795.5,1.11848,0.656,1.01773,0.04923,0.05661,0.02863,0.00999,3.13174,5.57601,1.72604,0.00018325,0.00018325,0.00018325
167,1806.13,1.07886,0.62574,1.01806,0.04879,0.05705,0.02847,0.01037,3.11999,5.47522,1.7113,0.0001783,0.0001783,0.0001783
168,1815.99,1.08004,0.63144,1.01612,0.05193,0.06059,0.03024,0.0106,3.11117,5.41587,1.70328,0.00017335,0.00017335,0.00017335
169,1826.68,1.08346,0.62762,1.01613,0.05176,0.05661,0.03001,0.01111,3.11603,5.42895,1.70241,0.0001684,0.0001684,0.0001684
170,1837.49,1.04947,0.62394,1.01233,0.05153,0.0575,0.02984,0.01103,3.1219,5.37479,1.70274,0.00016345,0.00016345,0.00016345
